data,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
Full,knn,0.0,0.0,0.003966522216796875,0.004857993863956582,"{'n_neighbors': 6, 'weights': 'uniform'}",0.978021978021978,0.945054945054945,0.978021978021978,0.967032967032967,0.989010989010989,0.9714285714285715,0.01490621974313247
Full,lr,0.013358259201049804,0.0055709804914079375,0.0,0.0,"{'C': 10, 'penalty': 'l2'}",0.9560439560439561,0.945054945054945,1.0,0.967032967032967,0.989010989010989,0.9714285714285715,0.020381579110979577
Full,mlp,0.20576748847961426,0.060526935054504585,0.001901721954345703,0.003803443908691406,"{'activation': 'relu', 'hidden_layer_sizes': 100, 'solver': 'lbfgs'}",0.9340659340659341,0.945054945054945,1.0,0.978021978021978,0.9560439560439561,0.9626373626373625,0.02367105409729452
Full,rf,0.010299587249755859,0.002628217454044119,0.0017894744873046876,0.0019049339662006329,"{'max_depth': 10, 'n_estimators': 5}",0.9340659340659341,0.9230769230769231,0.978021978021978,0.945054945054945,0.978021978021978,0.9516483516483516,0.02262775855161975
Full,svm,0.003938722610473633,0.003925278890910643,0.0,0.0,"{'C': 10, 'degree': 2, 'kernel': 'linear'}",0.967032967032967,0.967032967032967,1.0,0.989010989010989,0.978021978021978,0.9802197802197803,0.012815278889769894
Reduced,knn,0.0009965896606445312,0.0006302987161901117,0.003588104248046875,0.0004883440776354491,"{'n_neighbors': 5, 'weights': 'uniform'}",0.8901098901098901,0.945054945054945,0.989010989010989,0.945054945054945,0.9560439560439561,0.945054945054945,0.03184917966195484
Reduced,lr,0.006371498107910156,0.00124188802729829,0.0019370079040527343,0.0011062638882920217,"{'C': 0.0001, 'penalty': None}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312
Reduced,mlp,0.013706541061401368,0.004460763410086563,0.001766204833984375,0.0007025962119599226,"{'activation': 'identity', 'hidden_layer_sizes': 10, 'solver': 'lbfgs'}",0.9340659340659341,0.967032967032967,0.978021978021978,0.945054945054945,0.9560439560439561,0.956043956043956,0.015540808377726312
Reduced,rf,0.11216573715209961,0.009435538531382046,0.004767513275146485,0.001135710995475459,"{'max_depth': 5, 'n_estimators': 100}",0.8791208791208791,0.9340659340659341,0.967032967032967,0.9560439560439561,0.967032967032967,0.9406593406593406,0.03304021182059981
Reduced,svm,0.0026642322540283204,0.0005985527863778658,0.0023871898651123048,0.0007949355482217832,"{'C': 0.1, 'degree': 2, 'kernel': 'rbf'}",0.9230769230769231,0.9120879120879121,0.978021978021978,0.9230769230769231,0.967032967032967,0.9406593406593406,0.02655614499691113
